Data;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
01/01/2019;0;999,03;999,28;998,80;27134,70;28,41;21,92;28,79;27,85;22,40;21,42;72,88;67,92;70,04;89,00;6,03;2,76
02/01/2019;0;996,51;999,28;996,26;25520,00;30,00;21,99;30,70;29,31;22,63;21,48;68,04;61,58;64,88;187,42;6,20;2,95
03/01/2019;15,6;994,78;999,28;994,30;9096,20;26,31;21,94;27,16;25,96;22,60;21,52;80,38;74,00;78,13;235,50;5,57;2,44
04/01/2019;0,4;1000,77;999,28;1000,43;16174,30;21,64;18,33;22,04;21,10;18,90;17,89;85,21;80,04;82,08;101,38;5,14;2,35
05/01/2019;0;1001,38;999,28;1001,18;19341,30;22,50;18,19;22,87;22,07;18,56;17,88;79,42;75,71;77,50;102,25;6,16;2,92
06/01/2019;0;997,26;999,28;997,13;25572,90;25,99;20,26;26,58;25,32;20,84;19,60;75,38;69,58;72,63;88,50;4,64;2,10
07/01/2019;6,6;991,35;999,28;990,90;14687,30;26,37;22,01;27,10;25,80;22,68;21,54;81,38;73,79;78,00;192,38;7,80;3,45
08/01/2019;1,8;999,11;999,28;998,71;23994,90;25,37;20,11;26,09;24,77;20,58;19,43;76,79;69,50;73,71;185,67;4,11;1,89
09/01/2019;10,8;998,58;999,28;998,22;8921,50;23,05;21,02;23,49;22,75;21,52;20,75;90,67;86,79;88,67;161,96;6,28;2,81
10/01/2019;0,4;997,30;999,28;996,85;13580,40;25,10;21,48;25,47;24,63;22,00;20,94;84,04;78,38;81,04;188,04;4,82;2,14
11/01/2019;0,2;1003,50;999,28;1003,17;10344,80;23,35;20,58;23,89;23,05;21,15;20,24;87,42;81,96;84,75;181,63;5,00;2,34
12/01/2019;2;1003,95;999,28;1003,73;8090,20;22,51;20,03;22,78;22,25;20,25;19,79;87,42;84,38;86,08;103,29;6,04;2,60
13/01/2019;0,8;1001,25;999,28;1000,99;24637,50;25,20;21,81;25,77;24,70;22,43;21,36;85,79;80,17;82,92;123,08;4,71;1,92
14/01/2019;3,6;1000,16;999,28;999,78;22287,60;25,67;22,29;26,05;25,16;22,71;21,69;85,25;80,58;83,04;171,42;3,89;1,63
15/01/2019;8;998,61;999,28;998,36;21184,00;26,41;22,88;27,19;25,73;23,63;22,09;85,71;78,63;82,63;159,50;4,53;1,87
16/01/2019;24,6;997,44;999,28;997,02;15662,80;25,38;22,67;25,99;24,85;23,23;22,26;87,88;83,29;85,67;209,00;7,85;3,32
17/01/2019;14,8;1001,08;999,28;1000,62;8161,10;24,40;22,65;24,94;24,12;23,15;22,37;92,04;87,83;90,17;136,29;4,26;1,95
18/01/2019;3,6;1000,59;999,28;1000,37;8355,50;22,53;20,88;22,79;22,23;21,17;20,52;91,88;88,50;90,50;102,04;6,11;2,61
19/01/2019;4,8;1001,92;999,28;1001,49;12093,70;21,48;18,93;22,13;20,95;19,54;18,42;88,00;82,58;85,58;155,96;6,67;2,66
20/01/2019;0,2;1003,93;999,28;1003,77;22393,50;21,93;17,98;22,49;21,40;18,56;17,47;82,13;76,42;79,21;113,04;6,18;2,94
21/01/2019;0;1001,63;999,28;1001,44;22509,00;23,77;19,18;24,18;23,20;19,80;18,48;81,17;75,00;77,79;188,54;3,65;1,60
22/01/2019;0;1002,11;999,28;1001,92;28456,90;25,47;20,15;26,04;24,82;20,90;19,20;79,21;71,38;75,38;91,92;3,87;1,74
23/01/2019;0;1001,24;999,28;1001,00;17029,80;26,40;22,17;26,93;25,88;22,62;21,62;81,08;74,83;78,38;135,54;3,83;1,88
24/01/2019;0;1002,72;999,28;1002,40;24747,70;26,79;21,88;27,44;26,12;22,50;21,23;78,38;72,21;75,50;115,33;7,13;3,36
25/01/2019;0;1002,55;999,28;1002,37;30098,80;26,01;20,09;26,49;25,53;20,63;19,64;74,67;69,71;72,00;101,46;7,71;3,75
26/01/2019;0;1001,01;999,28;1000,75;29289,80;27,18;20,61;27,71;26,59;21,38;20,04;73,33;66,83;69,75;89,33;4,91;2,12
27/01/2019;0;1000,61;999,28;1000,40;27040,60;27,33;21,58;28,08;26,67;22,25;20,92;76,83;69,25;73,29;122,92;4,56;2,22
28/01/2019;0;1000,87;999,28;1000,65;28729,30;28,72;21,09;29,33;27,83;21,65;20,34;69,63;62,38;65,75;198,83;5,02;2,41
29/01/2019;0;1001,33;999,28;1001,15;28545,30;30,06;21,24;30,77;29,34;21,99;20,56;65,33;57,46;61,38;278,63;5,08;2,38
30/01/2019;0;998,85;999,28;998,69;26169,20;30,66;21,64;31,44;29,93;22,30;21,07;64,04;57,00;60,33;242,83;5,42;2,56
31/01/2019;0,6;999,14;999,28;998,80;20967,80;28,29;21,79;29,35;27,45;22,55;21,19;73,08;64,83;69,17;285,04;4,68;1,78
01/02/2019;0,4;999,98;999,28;999,70;20804,50;25,80;22,45;26,52;25,08;23,04;21,75;86,42;80,08;83,54;118,25;4,73;2,00
02/02/2019;0,2;1001,72;999,28;1001,37;17722,40;25,15;21,23;25,90;24,61;21,88;20,62;83,33;77,17;80,63;225,21;5,29;2,47
03/02/2019;0,2;1006,73;999,28;1006,43;15422,90;22,48;15,68;22,96;22,06;16,45;15,23;70,71;64,50;67,13;136,67;6,73;3,01
04/02/2019;0;1007,42;999,28;1007,24;24592,40;22,01;15,16;22,80;21,16;15,88;14,49;70,96;63,21;66,96;124,71;6,48;2,88
05/02/2019;0;1006,17;999,28;1006,02;27346,50;21,92;14,72;22,57;21,08;15,24;14,01;69,33;63,25;66,38;107,25;6,33;2,91
06/02/2019;0;1002,64;999,28;1002,50;29207,40;23,05;15,61;23,72;22,28;16,22;14,75;69,75;62,46;66,42;97,83;5,20;2,38
07/02/2019;0;998,77;999,28;998,60;26765,30;24,46;17,57;25,12;23,70;18,25;16,90;72,71;65,88;69,21;100,21;4,88;2,13
08/02/2019;0;997,37;999,28;997,16;26811,30;26,42;18,41;27,08;25,64;19,28;17,78;69,04;62,21;65,08;134,00;4,25;1,91
09/02/2019;0;996,80;999,28;996,63;25252,20;28,29;18,69;29,18;27,46;19,47;17,80;62,88;54,88;59,17;134,08;4,71;2,13
10/02/2019;8,8;995,38;999,28;995,06;9072,50;25,68;21,48;26,52;25,28;22,11;20,98;81,04;73,75;78,38;139,42;4,74;1,85
11/02/2019;10,8;994,40;999,28;993,95;18419,10;25,76;21,41;26,56;24,97;22,00;20,84;82,25;75,13;78,75;186,71;5,86;2,44
12/02/2019;0;1003,50;999,28;1002,99;15820,50;21,78;17,84;22,35;21,50;18,70;17,63;82,79;78,29;79,58;223,00;6,20;2,91
13/02/2019;0;1006,78;999,28;1006,60;26284,10;19,39;13,57;20,03;18,65;14,03;12,94;73,71;67,42;70,79;155,13;5,10;2,53
14/02/2019;0;1002,28;999,28;1002,10;27815,30;22,68;16,39;23,26;22,05;16,78;15,98;71,29;66,71;69,08;96,54;5,81;2,67
15/02/2019;29,2;998,76;999,28;998,50;8383,70;20,71;19,04;21,18;20,47;19,35;18,75;91,50;88,08;90,33;130,67;6,65;3,32
16/02/2019;0;1000,14;999,28;999,85;21037,50;23,29;19,11;23,99;22,61;19,50;18,63;81,88;75,33;78,67;115,92;7,12;3,20
17/02/2019;0;1001,60;999,28;1001,41;27936,30;23,59;17,62;24,15;22,98;18,18;17,15;74,21;68,71;71,38;105,54;6,83;3,27
18/02/2019;0;999,31;999,28;999,12;25109,50;24,65;19,60;25,27;23,99;19,98;19,13;77,67;72,29;75,08;91,38;6,28;2,87
19/02/2019;0;996,17;999,28;995,89;25333,00;25,24;20,01;25,98;24,56;20,58;19,49;78,13;72,08;75,00;182,46;4,63;2,13
20/02/2019;0;997,70;999,28;997,40;27809,70;26,65;20,19;27,29;25,90;20,95;19,33;74,92;67,54;71,08;118,50;3,23;1,47
21/02/2019;0;1000,87;999,28;1000,56;27597,00;26,46;18,71;27,12;25,79;19,35;17,83;68,88;61,58;65,50;91,21;4,35;2,13
22/02/2019;0;1000,56;999,28;1000,39;27315,60;26,21;19,25;26,89;25,53;19,78;18,50;71,50;64,88;68,38;133,63;4,56;2,15
23/02/2019;0;996,33;999,28;996,18;25431,90;27,98;19,19;28,83;27,02;19,99;18,38;66,79;58,71;62,63;163,88;4,14;1,91
24/02/2019;11,8;992,33;999,28;991,88;12023,40;26,50;20,77;27,50;25,75;21,39;20,14;75,71;66,79;71,79;266,25;5,94;2,58
25/02/2019;3,6;997,01;999,28;996,33;2719,80;20,60;19,27;20,99;20,48;19,65;19,10;93,17;90,79;92,17;254,42;4,53;1,83
26/02/2019;3,8;1002,03;999,28;1001,76;20328,30;20,80;16,59;21,19;20,23;17,08;15,90;81,71;76,42;79,21;151,83;3,65;1,52
27/02/2019;0;1003,05;999,28;1002,85;23174,30;20,80;15,03;21,55;20,15;15,85;14,45;75,75;67,75;71,63;128,21;3,91;1,74
28/02/2019;0;1003,05;999,28;1002,88;26668,70;20,64;13,99;21,40;19,93;14,90;13,00;74,00;67,08;70,33;220,58;3,98;1,77
01/03/2019;0;1001,71;999,28;1001,55;26843,40;22,28;13,96;23,00;21,45;14,90;13,13;67,13;58,92;62,63;173,04;3,20;1,39
02/03/2019;0;1000,20;999,28;999,99;26834,90;23,67;14,64;24,44;22,89;15,32;13,58;65,29;57,50;61,88;237,17;4,86;2,52
03/03/2019;0;1002,20;999,28;1001,98;23800,90;23,85;17,75;24,63;23,21;18,11;17,25;72,21;65,79;69,71;123,21;5,10;2,42
04/03/2019;0;999,85;999,28;999,70;22204,30;25,17;18,70;25,78;24,44;19,19;18,28;74,17;68,79;71,25;81,54;5,25;2,54
05/03/2019;0;1000,97;999,28;1000,60;18658,50;26,69;20,23;27,67;26,08;20,87;19,77;71,88;64,83;68,63;135,21;5,13;2,26
06/03/2019;0;1001,90;999,28;1001,70;9205,30;23,11;20,00;23,48;22,70;20,26;19,73;85,46;81,42;83,29;87,79;4,05;1,85
07/03/2019;25,6;998,70;999,28;998,43;20557,80;25,97;20,44;26,99;25,18;21,11;20,00;78,33;71,04;75,00;151,04;4,38;1,68
08/03/2019;3,2;998,67;999,28;998,29;9132,20;23,41;20,70;23,85;22,99;21,05;20,32;87,58;82,75;85,33;214,75;3,94;1,49
09/03/2019;11,6;1004,43;999,28;1004,05;5899,70;20,83;19,07;21,19;20,59;19,41;18,85;91,67;88,25;90,00;163,21;6,19;2,90
10/03/2019;0,2;1008,43;999,28;1008,22;19055,00;20,18;15,64;20,81;19,63;16,30;15,16;79,42;74,00;76,67;150,75;5,50;2,64
11/03/2019;0;1005,98;999,28;1005,86;16222,20;20,38;15,37;20,89;19,82;15,74;14,96;76,46;71,75;74,21;104,46;6,14;2,83
12/03/2019;0,2;1001,04;999,28;1000,68;11811,90;21,70;17,99;22,21;21,25;18,31;17,63;82,38;77,50;80,08;128,83;4,97;2,00
13/03/2019;3;998,02;999,28;997,83;14224,70;22,95;19,50;23,40;22,46;19,93;19,09;85,04;80,79;82,71;233,29;4,72;2,10
14/03/2019;0;999,69;999,28;999,44;23794,20;22,10;16,23;22,80;21,45;16,78;15,73;74,83;69,21;72,00;287,96;4,99;2,62
15/03/2019;0;1002,35;999,28;1002,10;21722,90;22,17;16,37;22,88;21,39;16,90;15,59;75,46;68,38;72,25;188,17;3,40;1,39
16/03/2019;0;1002,72;999,28;1002,48;20678,90;23,55;18,61;24,09;23,03;18,99;18,26;78,17;73,46;75,83;93,54;6,60;3,16
17/03/2019;30,2;999,61;999,28;999,44;3812,10;21,11;19,33;21,38;20,99;19,47;19,15;90,46;88,46;90,00;92,46;6,54;2,91
18/03/2019;1,2;995,86;999,28;995,63;13296,20;23,24;20,30;23,96;22,59;20,92;19,93;88,04;82,17;84,54;193,79;4,63;2,15
19/03/2019;0,4;997,61;999,28;997,31;19954,50;23,49;19,55;24,17;22,83;20,11;18,98;83,21;77,54;80,58;251,38;4,21;1,99
20/03/2019;1,2;1003,11;999,28;1002,70;12002,50;20,20;15,79;20,81;19,77;16,52;15,36;79,46;73,46;76,33;157,42;5,10;2,17
21/03/2019;0;1007,04;999,28;1006,82;21993,90;17,99;10,70;18,66;17,33;11,40;9,97;68,79;61,29;65,13;166,25;4,70;1,86
22/03/2019;0;1005,83;999,28;1005,65;19194,60;18,15;12,26;18,94;17,42;12,69;11,74;72,63;66,63;69,92;103,96;5,30;2,47
23/03/2019;0;1004,37;999,28;1004,20;16541,50;19,80;15,19;20,46;19,13;15,80;14,70;80,54;75,17;77,54;144,42;3,61;1,55
24/03/2019;0;1002,20;999,28;1002,05;18838,50;21,50;14,94;22,23;20,71;15,48;14,46;72,21;66,33;69,13;190,83;4,91;2,50
25/03/2019;0;1002,96;999,28;1002,68;20675,70;19,76;11,35;20,63;19,09;12,15;10,76;64,71;57,75;61,04;277,79;5,31;2,64
26/03/2019;0;1006,26;999,28;1005,98;20348,80;18,77;11,62;19,48;17,80;12,15;11,00;69,54;62,54;65,83;234,79;3,74;1,65
27/03/2019;0;1010,60;999,28;1010,32;11542,10;19,10;14,87;19,95;18,48;15,28;14,36;80,29;73,33;77,33;140,71;6,21;3,07
28/03/2019;0;1011,59;999,28;1011,42;17222,90;20,84;16,31;21,35;20,33;16,61;15,95;78,75;74,67;76,83;102,54;7,26;3,53
29/03/2019;0;1008,73;999,28;1008,61;19413,00;22,30;16,58;22,84;21,74;16,89;16,25;74,54;69,83;72,17;85,21;7,31;3,49
30/03/2019;0;1004,43;999,28;1004,28;17658,30;24,02;17,79;24,63;23,27;18,11;17,34;73,50;68,08;70,79;139,54;4,28;2,13
31/03/2019;0;1002,51;999,28;1002,30;11101,10;23,92;19,88;24,76;23,47;20,35;19,50;81,79;75,46;79,25;102,42;3,55;1,57
01/04/2019;0;1002,30;999,28;1002,12;15408,60;23,81;18,97;24,33;23,24;19,39;18,59;78,92;74,04;76,38;91,92;4,34;2,07
02/04/2019;0;1000,09;999,28;999,90;17322,10;25,06;19,50;25,63;24,36;19,98;19,06;77,88;72,67;75,04;138,92;4,00;1,68
03/04/2019;0;997,98;999,28;997,82;17824,70;26,53;20,29;27,27;25,75;20,81;19,75;73,96;67,42;70,75;258,13;4,24;2,01
04/04/2019;7,2;993,37;999,28;993,23;9314,30;25,02;21,45;25,80;24,53;21,73;21,07;83,92;77,83;81,58;132,21;4,51;2,17
05/04/2019;56,4;995,64;999,28;994,86;5843,60;20,89;18,85;21,34;20,59;19,33;18,58;90,25;87,38;88,75;259,46;7,13;3,18
06/04/2019;0,6;1004,82;999,28;1004,53;7444,80;19,68;16,60;20,05;19,35;16,88;16,31;84,42;80,33;82,67;154,13;4,69;2,24
07/04/2019;1,4;1005,33;999,28;1005,12;10855,00;20,96;17,35;21,24;20,70;17,73;17,08;83,21;79,71;81,13;132,92;5,42;2,63
08/04/2019;0;1006,05;999,28;1005,82;19236,90;21,00;14,52;21,67;20,45;15,15;14,05;70,96;64,83;67,88;115,46;4,62;2,23
09/04/2019;0;1006,08;999,28;1005,93;20085,80;18,98;13,95;19,58;18,45;14,47;13,54;77,50;72,21;74,88;101,38;5,76;2,83
10/04/2019;0;1004,34;999,28;1004,19;19841,70;21,01;14,47;21,59;20,40;14,85;14,11;70,67;66,04;68,17;84,13;5,33;2,43
11/04/2019;4,6;1002,08;999,28;1001,94;14336,00;22,07;17,16;22,92;21,26;17,58;16,59;78,63;71,42;75,38;188,58;4,37;1,84
12/04/2019;0;1002,31;999,28;1002,10;9401,40;20,87;18,34;21,37;20,51;18,73;18,11;87,75;84,13;86,04;179,29;3,43;1,61
13/04/2019;0;1001,14;999,28;1000,98;14115,30;21,92;18,48;22,34;21,35;18,80;18,03;83,92;79,83;81,83;92,79;4,63;2,17
14/04/2019;0;1000,96;999,28;1000,73;16499,80;24,50;19,36;24,95;23,88;19,85;18,98;79,21;74,00;76,00;142,17;3,86;1,63
15/04/2019;0;1004,34;999,28;1004,00;10920,30;22,98;19,05;23,70;22,65;19,62;18,69;81,71;76,83;79,54;134,50;5,46;2,64
16/04/2019;25,6;1004,17;999,28;1003,88;6033,00;19,63;17,80;20,03;19,39;18,16;17,57;91,25;87,29;89,46;129,17;7,12;3,44
17/04/2019;0;1003,49;999,28;1003,32;13089,70;19,33;15,64;19,88;18,77;16,22;15,31;83,92;78,83;80,71;146,58;2,90;1,29
18/04/2019;0,2;1002,00;999,28;1001,82;13394,60;19,25;16,04;19,78;18,78;16,53;15,62;85,13;80,33;82,71;128,54;3,59;1,75
19/04/2019;0;1000,21;999,28;1000,00;16717,60;20,25;15,42;20,83;19,51;15,95;14,88;79,25;73,50;76,13;210,63;3,99;1,80
20/04/2019;0;999,82;999,28;999,54;8442,20;21,39;17,90;21,93;20,87;18,35;17,38;83,46;78,75;81,46;239,50;2,63;1,00
21/04/2019;2,6;1000,34;999,28;1000,10;3784,00;20,28;18,25;20,63;20,08;18,59;17,99;89,96;86,38;88,33;140,42;3,93;1,75
22/04/2019;0;1004,19;999,28;1003,88;11742,00;18,46;14,01;18,78;18,17;14,46;13,70;78,17;74,25;75,83;108,75;5,24;2,40
23/04/2019;0;1006,43;999,28;1006,20;9975,60;19,67;14,95;19,98;19,35;15,16;14,62;75,92;72,42;74,54;105,83;5,60;2,64
24/04/2019;0;1006,63;999,28;1006,45;14426,40;21,49;18,05;21,97;20,97;18,35;17,64;83,71;79,63;81,83;127,54;4,14;2,08
25/04/2019;1,6;1006,89;999,28;1006,58;2234,40;20,86;19,01;21,03;20,68;19,13;18,86;90,21;88,13;89,38;104,54;5,99;2,66
26/04/2019;16,4;1004,25;999,28;1004,08;7063,40;22,35;20,61;22,56;22,13;20,75;20,43;91,17;88,67;90,13;91,75;5,83;2,65
27/04/2019;33;999,21;999,28;998,77;2509,30;20,86;19,73;21,07;20,74;19,98;19,53;94,25;92,33;93,46;179,33;5,23;2,16
28/04/2019;0,4;998,62;999,28;998,32;11316,50;20,00;16,69;20,44;19,63;17,25;16,35;85,13;80,50;82,46;261,79;5,51;2,57
29/04/2019;0;1001,55;999,28;1001,31;14651,00;17,74;14,87;18,32;17,21;15,37;14,45;87,00;82,25;84,63;207,29;2,84;1,50
30/04/2019;0,4;1003,23;999,28;1002,98;13561,80;17,68;14,75;18,20;17,19;15,34;14,23;86,75;82,13;84,42;132,33;4,04;1,89
01/05/2019;0;1003,32;999,28;1003,08;13302,40;19,60;15,64;20,18;19,16;16,17;15,29;81,63;76,21;79,08;165,00;3,24;1,35
02/05/2019;0,2;999,81;999,28;999,62;14079,20;18,45;15,63;19,01;17,79;16,16;15,19;87,13;83,00;84,83;110,33;3,27;1,62
03/05/2019;6,6;998,47;999,28;998,13;8215,00;21,62;18,88;22,29;21,05;19,17;18,43;87,21;81,88;85,13;117,29;4,11;1,63
04/05/2019;25,2;1001,86;999,28;1001,55;13196,00;24,28;21,70;24,67;23,85;21,97;21,34;88,13;84,63;86,50;109,54;4,97;2,28
05/05/2019;1,6;1002,73;999,28;1002,50;8515,40;23,98;21,77;24,38;23,61;22,15;21,51;90,00;86,17;88,17;141,25;3,80;1,75
06/05/2019;2,4;1003,25;999,28;1002,91;4166,60;21,59;20,08;21,96;21,41;20,50;19,92;92,71;90,13;91,33;226,00;4,68;2,48
07/05/2019;0;1007,15;999,28;1006,88;13063,60;18,63;14,64;19,14;18,19;15,13;14,30;81,21;75,75;78,29;121,63;4,86;2,18
08/05/2019;0;1006,43;999,28;1006,23;9870,20;17,19;13,76;17,53;16,77;13,99;13,46;82,67;79,04;80,83;103,00;6,13;2,95
09/05/2019;0,8;1001,73;999,28;1001,55;8002,20;19,76;17,07;20,06;19,41;17,30;16,83;86,38;83,25;84,92;91,13;5,15;2,45
10/05/2019;27,4;996,18;999,28;995,69;2421,70;20,17;18,58;20,39;19,97;18,68;18,43;91,67;89,38;90,71;115,54;5,50;2,61
11/05/2019;0,6;999,29;999,28;998,88;3720,10;19,30;17,85;19,57;19,17;18,14;17,66;92,58;90,79;91,63;255,63;3,44;1,72
12/05/2019;1;1006,22;999,28;1005,88;12051,20;16,59;13,64;17,17;16,14;14,22;13,34;86,08;81,38;83,63;140,33;3,87;1,69
13/05/2019;1,4;1005,74;999,28;1005,43;3946,10;17,27;15,70;17,54;17,00;15,95;15,43;91,58;89,00;90,50;148,33;5,51;2,76
14/05/2019;2,4;1009,41;999,28;1009,08;9666,80;16,35;14,11;16,74;15,95;14,52;13,75;89,38;84,96;87,21;236,63;5,91;3,10
15/05/2019;1;1012,23;999,28;1012,03;8319,20;17,84;15,61;18,23;17,36;15,84;15,20;89,13;85,25;87,38;170,21;4,28;2,01
16/05/2019;0;1012,58;999,28;1012,43;14679,90;18,76;15,20;19,16;18,34;15,55;14,93;83,17;79,21;81,21;113,04;6,03;2,89
17/05/2019;0;1009,78;999,28;1009,65;14743,70;17,45;12,49;17,97;16,92;12,90;12,14;76,25;71,50;73,83;90,04;5,91;2,83
18/05/2019;0;1007,05;999,28;1006,90;13692,70;19,00;13,86;19,45;18,47;14,15;13,43;75,13;70,38;72,96;91,25;5,90;2,77
19/05/2019;0;1004,65;999,28;1004,47;13428,10;20,61;16,28;21,13;20,03;16,73;15,78;80,58;74,67;77,63;138,75;3,00;1,36
20/05/2019;0;1003,15;999,28;1003,00;10017,50;19,35;16,98;20,05;18,85;17,53;16,51;88,17;84,33;86,67;117,71;3,44;1,71
21/05/2019;27,2;1001,12;999,28;1000,72;5621,00;19,51;17,58;19,84;19,14;17,86;17,32;90,88;87,46;89,13;184,21;5,30;2,17
22/05/2019;1,8;1002,18;999,28;1001,93;3763,30;19,06;17,76;19,38;18,82;17,95;17,53;93,38;90,54;92,29;155,42;3,89;1,80
23/05/2019;12,6;1003,20;999,28;1002,91;4799,20;16,81;15,83;17,14;16,58;16,14;15,51;94,83;92,46;94,00;176,96;5,07;2,38
24/05/2019;0,4;1001,78;999,28;1001,51;5096,20;16,11;13,85;16,36;15,87;14,22;13,60;89,00;85,04;86,96;181,79;4,78;2,55
25/05/2019;0,2;1005,14;999,28;1004,88;10400,30;14,41;12,07;14,98;13,85;12,60;11,52;89,13;83,88;86,71;249,33;3,07;1,46
26/05/2019;0,2;1003,25;999,28;1003,06;13122,20;15,52;12,60;15,97;14,98;13,03;12,18;85,88;81,63;83,71;88,38;4,11;1,93
27/05/2019;7,6;1000,15;999,28;999,76;5958,70;18,13;16,19;18,45;17,83;16,43;15,92;90,38;86,54;88,75;85,79;4,09;1,73
28/05/2019;54,4;998,34;999,28;997,75;3219,30;17,38;16,55;17,59;17,24;16,75;16,43;95,42;94,50;95,00;146,71;5,29;2,45
29/05/2019;0,4;1005,10;999,28;1004,82;11686,80;16,33;14,16;16,85;15,91;14,77;13,82;89,75;86,54;87,79;78,67;3,28;1,70
30/05/2019;8,4;1002,33;999,28;1001,94;1202,70;15,02;13,51;15,27;14,86;13,70;13,33;91,63;89,33;90,71;112,50;7,53;3,43
31/05/2019;5,6;1000,93;999,28;1000,54;3565,30;15,00;13,98;15,14;14,84;14,15;13,81;94,46;92,67;93,67;120,08;8,07;3,71
01/06/2019;0,6;1003,65;999,28;1003,34;5025,80;15,73;13,83;15,96;15,52;14,10;13,63;90,17;87,25;88,63;129,58;5,18;2,58
02/06/2019;2,6;1007,26;999,28;1006,99;5361,60;16,44;14,66;16,73;16,16;14,93;14,38;90,71;88,04;89,50;124,54;4,31;2,24
03/06/2019;0;1010,46;999,28;1010,16;10231,40;16,58;13,39;17,07;16,02;13,81;12,97;85,04;79,75;82,17;183,96;3,24;1,53
04/06/2019;0;1013,85;999,28;1013,58;10416,20;14,71;11,83;15,28;14,22;12,34;11,34;86,13;81,04;83,83;110,08;3,25;1,48
05/06/2019;0,2;1011,99;999,28;1011,83;12631,30;14,14;10,98;14,63;13,61;11,45;10,53;85,13;80,33;82,58;86,25;4,78;2,33
06/06/2019;0;1007,03;999,28;1006,94;12828,20;16,10;11,97;16,67;15,44;12,34;11,50;80,13;74,71;77,54;74,33;4,69;2,33
07/06/2019;0;1003,74;999,28;1003,52;11757,40;18,89;13,39;19,46;18,22;13,88;12,99;75,04;69,08;71,79;190,33;5,30;2,45
08/06/2019;2,2;1006,96;999,28;1006,58;2708,20;16,45;15,08;16,77;16,26;15,27;14,87;92,42;90,17;91,67;142,63;3,52;1,62
09/06/2019;2,4;1008,61;999,28;1008,37;7593,50;16,65;14,98;16,88;16,29;15,22;14,68;91,54;88,67;90,00;88,04;5,89;2,67
10/06/2019;0,2;1006,25;999,28;1006,02;9291,90;19,98;15,74;20,36;19,37;16,27;15,42;81,63;75,79;77,67;107,58;3,97;1,99
11/06/2019;0;1006,24;999,28;1006,00;11383,50;18,86;15,88;19,49;18,33;16,42;15,38;86,42;80,92;84,08;160,96;3,21;1,61
12/06/2019;0;1003,41;999,28;1003,25;9524,60;19,71;16,55;20,14;19,18;16,89;16,15;85,04;80,42;82,71;79,04;4,11;2,08
13/06/2019;0;1003,56;999,28;1003,33;9633,00;22,12;17,94;22,63;21,62;18,33;17,65;80,04;75,38;77,63;68,79;3,89;2,02
14/06/2019;0;1003,91;999,28;1003,72;9174,00;22,68;17,64;23,32;21,97;18,15;17,16;77,63;70,63;74,00;88,63;3,64;1,74
15/06/2019;0;1004,97;999,28;1004,75;8915,30;22,53;18,36;23,22;22,01;18,75;18,07;80,29;74,71;77,83;68,13;3,49;1,92
16/06/2019;0;1007,80;999,28;1007,50;7990,90;21,43;18,55;21,90;20,86;18,92;18,04;86,63;81,42;83,96;94,46;3,39;1,83
17/06/2019;0;1008,82;999,28;1008,68;10630,20;20,19;17,99;20,64;19,86;18,33;17,71;89,29;86,04;87,88;99,50;5,03;2,56
18/06/2019;0;1003,30;999,28;1003,18;11774,40;21,15;16,88;21,64;20,64;17,38;16,47;81,83;76,54;79,04;133,13;4,60;2,08
19/06/2019;9,8;1005,44;999,28;1004,99;12396,20;16,79;11,32;17,51;16,48;12,12;10,80;75,71;68,75;72,33;279,63;7,54;4,10
20/06/2019;0;1010,56;999,28;1010,30;12936,70;13,36;8,09;13,92;12,79;8,61;7,58;74,38;68,38;71,67;266,63;3,67;1,97
21/06/2019;0;1011,05;999,28;1010,87;11800,50;13,84;10,67;14,39;13,21;11,03;10,19;84,50;79,46;82,25;90,71;4,26;2,23
22/06/2019;0;1010,19;999,28;1010,03;11162,80;18,54;15,47;19,00;17,82;15,76;14,92;85,42;81,04;83,17;87,38;3,02;1,53
23/06/2019;0;1005,75;999,28;1005,68;12203,50;21,37;15,86;21,95;20,73;16,55;15,31;76,92;70,13;72,88;221,50;3,85;1,84
24/06/2019;0;999,24;999,28;999,16;10860,90;21,39;14,25;22,30;20,60;14,81;13,75;68,79;60,92;64,92;244,33;4,04;1,54
25/06/2019;3,2;993,83;999,28;993,32;6276,20;19,90;12,85;20,90;19,30;13,45;12,52;69,08;62,08;65,88;206,63;8,10;3,70
