Protocolo_S2iD;Nome_Municipio;Sigla_UF;regiao;Data_Registro;Data_Evento;Cod_Cobrade;tipologia;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Setores Censitários;Status;DH_Descricao;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_DESAPARECIDOS;DH_AFETADOS_SECA_ESTIAGEM;DH_total_danos_humanos_diretos;DH_OUTROS AFETADOS;DM_Descricao;DM_Uni Habita Danificadas;DM_Uni Habita Destruidas;DM_Uni Habita Valor;DM_Inst Saúde Danificadas;DM_Inst Saúde Destruidas;DM_Inst Saúde Valor;DM_Inst Ensino Danificadas;DM_Inst Ensino Destruidas;DM_Inst Ensino Valor;DM_Inst Serviços Danificadas;DM_Inst Serviços Destruidas;DM_Inst Serviços Valor;DM_Inst Comuni Danificadas;DM_Inst Comuni Destruidas;DM_Inst Comuni Valor;DM_Obras de Infra Danificadas;DM_Obras de Infra Destruidas;DM_Obras de Infra Valor;DM_total_danos_materiais;DA_Descricao;DA_Polui/cont da água;DA_Polui/cont do ar;DA_Polui/cont do solo;DA_Dimi/exauri hídrico;DA_Incêndi parques/APA's/APP's;PEPL_Descricao;PEPL_Assis_méd e emergên(R$);PEPL_Abast de água pot(R$);PEPL_sist de esgotos sanit(R$);PEPL_Sis limp e rec lixo (R$);PEPL_Sis cont pragas (R$);PEPL_distrib energia (R$);PEPL_Telecomunicações (R$);PEPL_Tran loc/reg/l_curso (R$);PEPL_Distrib combustíveis(R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPL_total_publico;PEPR_Descricao;PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$);PEPR_total_privado;PE_PLePR
RS-F-4315701-12100-20230915;Rio Pardo;RS;Sul;18/09/2023;15/09/2023;12100;7;Inundações;Hidrológico;4315701;431570127000004, 431570105000036, 431570105000010, 431570105000021, 431570105000020, 431570105000027, 431570124000004, 431570105000012, 431570124000002, 431570130000003, 431570105000034, 431570105000013, 431570105000008;Reconhecido;Dados esses de acordo com o atendimento do Defesa Civil, famílias essas que solicitaram apoio para retirar os móveis. Mas estimamos um número maior de famílias que desalojaram seus imóveis por conta própria.;0;0;0;22;219;0;0;241;0;A defesa civil do município atendeu 58 casas com danos desta inundação. Como o nível do rio esta alto e as previsões são ainda de chuvas na região, temos as quantidades danificadas e valores estimados apenas. Uma unidade de saúde apresentou problemas na contaminação de água. Também identificamos 09 entre escolas e creches problemas em infiltrações o telhado e também identificamos problemas estruturais em 04 pontes e 220 boeiros.;0;0;534311,71;0;58;21372,47;0;1;192352,21;0;9;0;0;0;0;0;225;374018,2;1122054,59;Nesse momento ainda não é possível avaliar se ocorrem prejuízos a fauna aquática dos recursos hídricos do município, ainda que as grandes inundação sempre causem interferem direta no meio ambiente. ;;;;;;Referente as despesas com água potável recebemos via doação tanto da comunidade como da 8° CREPEDC e a prefeitura efetuou compra valor esse que consta acima. ;0;1285,02;0;0;0;0;0;0;0;0;0;1285,02;O município foi afetado por volumes pluviométricos expressivos que ocasionaram problemas no perímetro urbano e rural. Ocasionando problemas nas produções, infraestruturas de produção e as habitações. São em torno 400 km de estradas totalizando 15 pontos de alague que impossibilitaram o deslocamento de pedestres e escoamento da produção.;4177115,36;1122054,59;0;0;0;5299169,94;5300454,96
RS-F-4315701-12100-20240430;Rio Pardo;RS;Sul;02/05/2024;30/04/2024;12100;7;Inundações;Hidrológico;4315701;431570110000003, 431570110000002, 431570110000004, 431570110000005, 431570115000002, 431570122000002, 431570115000003, 431570124000004, 431570122000003, 431570127000002, 431570127000003, 431570123000003, 431570123000002, 431570105000038, 431570105000034, 431570105000026, 431570105000017, 431570105000016, 431570105000015, 431570105000014, 431570130000002, 431570130000004, 431570123000004, 431570130000003, 431570124000002, 431570105000037, 431570124000003, 431570124000006, 431570124000005, 431570105000025, 431570105000019, 431570124000008, 431570130000001, 431570123000005, 431570127000005, 431570127000004, 431570105000018, 431570105000035, 431570105000027, 431570105000028, 431570105000021, 431570105000030, 431570105000031, 431570105000033, 431570105000003, 431570105000013, 431570105000002, 431570105000012, 431570105000032, 431570105000011, 431570105000029, 431570105000010, 431570105000005, 431570105000004, 431570105000024, 431570105000023, 431570105000020, 431570105000022, 431570105000036, 431570105000007, 431570105000006, 431570105000009, 431570105000008, 431570105000001, 431570124000001;Reconhecido;;0;0;0;414;3088;0;0;3502;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0
